rating,description,title,brand,image_urls,product_url,price,Title_tokens,Rating_tokens,Brand_tokens
35 Based on 2 ratings,,HP 255 G6 E29000e AMD 4GB500GB HDD 156Inch Free DOS Laptop  Black,HP,,,86990,"['hp', '255', 'g6', 'e29000', 'amd', '4gb500gb', 'hdd', '156inch', 'free', 'do', 'laptop', 'black']","['35', 'base', '2', 'rate']",['hp']
0 No rating yet,Dependable performanceWith the latest Intel processors and plenty of hard drive space or SSD on selected models you can work play multitask and store more of what matters to you Get reliable power and storage you can trustVibrant displayThe crisp HD screen lets you enjoy your photos videos and web pages in detail Or on selected models the Full HD lets you get even more out of your display,HP Notebook 15 Touchscreen Core I3 8GB RAM 1000GB HDD Free Ext DVD  Drive Bag Windows 10 Laptop,HP,,,145000,"['hp', 'notebook', '15', 'touchscreen', 'core', 'i3', '8gb', 'ram', '1000gb', 'hdd', 'free', 'ext', 'dvd', 'drive', 'bag', 'window', '10', 'laptop']","['0', 'no', 'rate', 'yet']",['hp']
0 No rating yet,,HP Pavilion 15 Touchscreen Core I5 8 GB RAM 1 TB HDD Backlit Keyboard Windows 10 With Licensed Antivirus,HP,,,195000,"['hp', 'pavilion', '15', 'touchscreen', 'core', 'i5', '8', 'gb', 'ram', '1', 'tb', 'hdd', 'backlit', 'keyboard', 'window', '10', 'with', 'licens', 'antivirus']","['0', 'no', 'rate', 'yet']",['hp']
0 No rating yet,Lenovo 14inch ThinkPad T440 Ultrabook is the thinnest and lightest ThinkPad T series laptop we offer 4th generation Intel Core processors deliver the performance to increase productivity for your business Devices turn on in an instant and are always uptodate You can multitask quickly and move effortlessly between applications collaborate wirelessly in a high quality videoconference  all with the convenience of longer battery life Plus you can guard against identity theft and ensure safe access to your network with builtin security features In fact the only thing more amazing than an Intel Core processorbased PC is what your users will do with it The standard configuration of T440 includes 2 x 3cell batteries one internal and one swappable Power Bridge allows you to swap the rear battery without powering down your system This is much needed for long flights or travellers who are away from power sources for an extended period of time and can give you up to 17 hours of use without needing to plug in A VGA port for projector connections in conference rooms is still a business musthave and a native VGA means no dongles to buylosereplace Dolby Advanced Audio is a suite of audio technologies that enable your ThinkPad to deliver a crisp clear surround sound experience over its builtin stereo speakers The technology increases audio clarity for VOIP applications maximizes volume output without distortion and improves dialogue clarity when watching videos Crystal clear video face tracking and keystroke noise suppression technology will help you web conference or chat like youre really there Dual digital array microphones ensure a premium audio experience Assure worryfree enjoyment of your T440 with accidental damage protection which keeps you covered in the event of accidental damage  such as drops or spills  that occur under normal working conditions,Lenovo Lenovo T440 14inch ThinkPad  Intel Core I5 16 GHz Processor 4 GB RAM 500 GB HDD With BagWireless Mouse,Lenovo,,,142200,"['lenovo', 'lenovo', 't440', '14inch', 'thinkpad', 'intel', 'core', 'i5', '16', 'ghz', 'processor', '4', 'gb', 'ram', '500', 'gb', 'hdd', 'with', 'bagwireless', 'mous']","['0', 'no', 'rate', 'yet']",['lenovo']
0 No rating yet,,HP Notebook 15bs013dx Intel Core I3  24GHz  DvdWriter Fullsize Island 8GB RAM 1TB HDD  Windows 10 32gb Flash Usb Light,HP,,,155000,"['hp', 'notebook', '15bs013dx', 'intel', 'core', 'i3', '24ghz', 'dvdwriter', 'fullsiz', 'island', '8gb', 'ram', '1tb', 'hdd', 'window', '10', '32gb', 'flash', 'usb', 'light']","['0', 'no', 'rate', 'yet']",['hp']
0 No rating yet,Windows 10 operating system,Acer TravelMate 116 Laptop  Intel Celeron Quad Core  4GB Memory  128GB Solid State Drive Windows 10  Black,Acer,,,78790,"['acer', 'travelm', '116', 'laptop', 'intel', 'celeron', 'quad', 'core', '4gb', 'memori', '128gb', 'solid', 'state', 'drive', 'window', '10', 'black']","['0', 'no', 'rate', 'yet']",['acer']
0 No rating yet,Lenovo ThinkPad Yoga 370 13Inch Core i58GB 256GB SSD ConvertibleTouch screenWindows 10CPUIntel Core i57200UOperating SystemWindows 10 ProRAM8GBRAM Upgradable to16GBHard Drive Size256GB SSD133inch FHD 1920 x 1080 IPS touch displayIntel Core i57200U 25GHzIntel HD Graphics 6208GB of DDR4256GB PCIe SSD80211 abgnacBluetooth 41Dimensions 123 x 875 x 07inchesWeight 31 pounds,Lenovo ThinkPad Yoga 370 13Inch Core I58GB 256GB SSD ConvertibleTouch Screen,Lenovo,,,310000,"['lenovo', 'thinkpad', 'yoga', '370', '13inch', 'core', 'i58gb', '256gb', 'ssd', 'convertibletouch', 'screen']","['0', 'no', 'rate', 'yet']",['lenovo']
0 No rating yet,DELL Precision M3520 CORE I7 500GB 8GB 280GHZ 2GB NVIDIA TOUCH KEYLIGHT 156INCHCore i77700HQIntel Core i77700HQ 280GHz 512GB SSD 8GB DDR4156 LCD displayBluetooth 41 Microsoft Windows 10Keyboard LightTOUCHSCREENIntegrated NVIDIA Quadro M620 Graphics20GB Dedicated Video Memory,Dell  Precision M3520 CORE I7 500GB 8GB 280GHZ  2GB NVIDIA TOUCH KEYLIGHT 156INCH,Dell,,,315000,"['dell', 'precis', 'm3520', 'core', 'i7', '500gb', '8gb', '280ghz', '2gb', 'nvidia', 'touch', 'keylight', '156inch']","['0', 'no', 'rate', 'yet']",['dell']
47 Based on 7 ratings,        ,Tbao Tbook X7 141 Notebook  Silver,Tbao,,,60100,"['tbao', 'tbook', 'x7', '141', 'notebook', 'silver']","['47', 'base', '7', 'rate']",['tbao']
0 No rating yet,The,HP Pavillion 15 Intel Core I5 TOUCH SCREEN 8GB1TB HDD 156Inch Win10 Hp Bag16GB Flash Drive,HP,,,192000,"['hp', 'pavillion', '15', 'intel', 'core', 'i5', 'touch', 'screen', '8gb1tb', 'hdd', '156inch', 'win10', 'hp', 'bag16gb', 'flash', 'drive']","['0', 'no', 'rate', 'yet']",['hp']
0 No rating yet,The HP Pavilion 15 156 Laptop is part of our Everyday range of simple and reliable PCs Its great for studying working on essays streaming TV on demand and browsing the web Powered by an Intel Core i5 processor it powers through tasks with ease from word processing to more powerintensive applications to help you get your tasks done faster,HP Pavilion 15 Intel Core I5 12GB RAM1TB HDD 156 Inch Touch Screen   Headfone Windows 10 Laptop   Blue,HP,,,199000,"['hp', 'pavilion', '15', 'intel', 'core', 'i5', '12gb', 'ram1tb', 'hdd', '156', 'inch', 'touch', 'screen', 'headfon', 'window', '10', 'laptop', 'blue']","['0', 'no', 'rate', 'yet']",['hp']
0 No rating yet,,Dell XPS 13 9365 2in1 7ThGen Intel Corei713GHz512GB SSD16GB RAMWindows 10,Dell,,,630000,"['dell', 'xps', '13', '9365', '2in1', '7thgen', 'intel', 'corei713ghz512gb', 'ssd16gb', 'ramwindow', '10']","['0', 'no', 'rate', 'yet']",['dell']
0 No rating yet,Operating System  Windows 10 Home 64Processor  Intel core i3 with Intel HD Graphics 24 GHz 2 MB cache 2 coresProcessor family  Intel core i3 processorMemory  4GB DDR3L SDRAM 1 x 4 GBStorage 1TB 5400 rpm SATA Dropbox HP Connected Drive1 SuperMulti DVD burnerWebcam  HP TrueVision HD Webcam frontfacing with integrated digital microphoneCommunication  Integrated 10100 BASET Ethernet LAN 80211bgn 1x1 and Bluetooth 40 comboEase of use 2gb radeon graphics,HP 15 Intel Core I324Ghz Touch Screen  Freebag4GB1TB HDD Windows 10 Laptop,HP,,,156000,"['hp', '15', 'intel', 'core', 'i324ghz', 'touch', 'screen', 'freebag4gb1tb', 'hdd', 'window', '10', 'laptop']","['0', 'no', 'rate', 'yet']",['hp']
