rating,description,title,brand,image_urls,product_url,price
3.5: Based on 2 ratings,"
","HP 255 G6 E2-9000e AMD (4GB,500GB HDD) 15.6-Inch Free DOS Laptop - Black",HP,,,#86990
0: No rating yet.,"Dependable performanceWith the latest Intel® processors and plenty of hard drive space or SSD on selected models, you can work, play, multitask, and store more of what matters to you. Get reliable power and storage you can trust.Vibrant displayThe crisp HD screen lets you enjoy your photos, videos, and web pages in detail. Or on selected models the Full HD lets you get even more out of your display.","HP Notebook 15 Touchscreen Core I3 (8GB RAM, 1000GB HDD+ Free Ext DVD  Drive, Bag,) Windows 10 Laptop",HP,,,#145000
0: No rating yet.,,"HP Pavilion 15 Touchscreen Core I5 8 GB RAM, 1 TB HDD Backlit Keyboard Windows 10 With Licensed Anti-virus",HP,,,#195000
0: No rating yet.,"Lenovo 14-inch ThinkPad T440 Ultrabook is the thinnest and lightest ThinkPad T series laptop we offer. 4th generation Intel Core processors deliver the performance to increase productivity for your business. Devices turn on in an instant and are always up-to-date. You can multitask quickly and move effortlessly between applications, collaborate wirelessly in a high quality videoconference - all with the convenience of longer battery life. Plus, you can guard against identity theft and ensure safe access to your network with built-in security features. In fact, the only thing more amazing than an Intel Core processor-based PC is what your users will do with it. The standard configuration of T440 includes 2 x 3-cell batteries, one internal and one swappable. Power Bridge allows you to swap the rear battery without powering down your system. This is much needed for long flights or travellers who are away from power sources for an extended period of time and can give you up to 17 hours of use without needing to plug in. A VGA port for projector connections in conference rooms is still a business must-have, and a native VGA means no dongles to buy/lose/replace. Dolby Advanced Audio is a suite of audio technologies that enable your ThinkPad to deliver a crisp, clear surround sound experience over its built-in stereo speakers. The technology increases audio clarity for VOIP applications, maximizes volume output without distortion, and improves dialogue clarity when watching videos. Crystal clear video, face tracking and keystroke noise suppression technology will help you web conference or chat like you're really there. Dual digital array microphones ensure a premium audio experience. Assure worry-free enjoyment of your T440 with accidental damage protection, which keeps you covered in the event of accidental damage - such as drops or spills - that occur under normal working conditions.","Lenovo Lenovo T440 14-inch ThinkPad  (Intel Core I5 1.6 GHz Processor, 4 GB RAM, 500 GB HDD, With Bag+Wireless Mouse",Lenovo,,,#142200
0: No rating yet.,,"HP Notebook -15-bs013dx- Intel Core I3 - 2.4GHz - Dvd-Writer, Full-size Island, 8GB RAM, 1TB HDD - Windows 10+ 32gb Flash+ Usb Light",HP,,,#155000
0: No rating yet.,Windows 10 operating system,"Acer TravelMate 11.6"" Laptop - Intel Celeron Quad Core - 4GB Memory - 128GB Solid State Drive Windows 10 - Black",Acer,,,#78790
0: No rating yet.,"Lenovo ThinkPad Yoga 370 13Inch Core i5,8GB ,256GB SSD Convertible,Touch screenWindows 10CPU	Intel Core i5-7200UOperating System	Windows 10 ProRAM	8GBRAM Upgradable to	16GBHard Drive Size	256GB SSD13.3-inch FHD (1920 x 1080) IPS touch displayIntel Core i5-7200U 2.5GHzIntel HD Graphics 6208GB of DDR4256GB PCIe SSD802.11 a/b/g/n/acBluetooth 4.1Dimensions: 12.3 x 8.75 x 0.7-inchesWeight: 3.1 pounds","Lenovo ThinkPad Yoga 370 13Inch Core I5,8GB ,256GB SSD Convertible,Touch Screen",Lenovo,,,#310000
0: No rating yet.,"DELL Precision M3520 CORE I7 500GB 8GB 2.80GHZ  2GB NVIDIA TOUCH KEYLIGHT 15.6INCHCore i7-7700HQIntel Core i7-7700HQ 2.80GHz; 512GB SSD; 8GB DDR415.6"" LCD display Bluetooth 4.1; Microsoft Windows 10 Keyboard LightTOUCHSCREENIntegrated NVIDIA Quadro M620 Graphics(2.0GB Dedicated Video Memory)",Dell  Precision M3520 CORE I7 500GB 8GB 2.80GHZ  2GB NVIDIA TOUCH KEYLIGHT 15.6INCH,Dell,,,#315000
4.7: Based on 7 ratings,"
        


	
		","T-bao Tbook X7 14.1"" Notebook - Silver",T-bao,,,#60100
0: No rating yet.,The ,"HP Pavillion 15 Intel Core I5 TOUCH SCREEN (8GB,1TB HDD) 15.6-Inch Win10 .Hp Bag+16GB Flash Drive",HP,,,#192000
0: No rating yet.,"The HP Pavilion 15- 15.6"" Laptop is part of our Everyday range of simple and reliable PCs. It's great for studying, working on essays, streaming TV on demand, and browsing the web. Powered by an IntelÂ® Coreâ„¢ i5 processor, it powers through tasks with ease from word processing to more power-intensive applications to help you get your tasks done faster.","HP Pavilion 15 Intel Core I5 (12GB RAM,1TB HDD) 15.6 Inch Touch Screen  + Headfone Windows 10 Laptop  - Blue",HP,,,#199000
0: No rating yet.,,"Dell XPS 13 9365 2-in-1 7ThGen Intel Corei7,1.3GHz,512GB SSD,16GB RAM,Windows 10",Dell,,,#630000
0: No rating yet.,"Operating System - Windows 10 Home 64
Processor - Intel core i3 with Intel HD Graphics (2.4 GHz, 2 MB cache, 2 cores)
Processor family - Intel core i3 processor
Memory - 4GB DDR3L SDRAM (1 x 4 GB)
Storage
- 1TB 5400 rpm SATA
- Dropbox; HP Connected Drive1
- SuperMulti DVD burner
Webcam - HP TrueVision HD Webcam (front-facing) with integrated digital microphone
Communication - Integrated 10/100 BASE-T Ethernet LAN; 802.11b/g/n (1x1) and Bluetooth 4.0 combo
Ease of use 2gb radeon graphics","HP 15 Intel Core I3-2.4Ghz Touch Screen + Freebag(4GB,1TB HDD) Windows 10 Laptop",HP,,,#156000
0: No rating yet.,"HP Envy Core i5 8th Gen/12 GB/1 TB/Windows 10) laptop has a display for your daily needs which is very superfast and easy to use. This laptop is powered by processor, coupled with 12GB of RAM and has 1 TB HDD storage at this price point. As far as the graphics card is concerned this notebook has graphics card to manage the graphical functions. To keep it alive, it has a battery that can serve you as long as anywhere you go. It has lovely features making it very versatile and functional for business operations.Power Processor","HP ENVY X360 15M-BP111DX INTEL CORE I5 8250U 15.6"" 1TB HDD 12GB RAM +1year Mcafee Internet Security +32gb Flash",HP,,,#250000
0: No rating yet.,"HP Envy x360 Core i5 th Gen/12 GB/1 TB/Windows 10) laptop has a display for your daily needs which is very superfast and easy to use. This laptop is powered by processor, coupled with 12GB of RAM and has 1 TB HDD storage at this price point. As far as the graphics card is concerned this notebook has graphics card to manage the graphical functions. To keep it alive, it has a battery that can serve you as long as anywhere you go. It has lovely features making it very versatile and functional for business operations.Power Processor","HP ENVY X360 15M-BP111DX INTEL CORE I5 8250U 15.6"" 1TB HDD 12GB RAM Backlit Keyboard+ UNIVERSAL MODEM+ 32GB FLASH",HP,,,#270000
5: Based on 1 rating,,Dell Alienware 17 R4 Core I7 1TB+512gb 32gb 8gb Nvidia 1080 Tobii Eye-Tracking Win 10 7th Gen,Dell,,,#1590000
0: No rating yet.,,"Samsung Notebook 9 Pro NP940X5M-X01US 15"" Touch Screen Laptop, 7th Gen Intel Core I7-7500U Up To 2.7GHz, 16GB DDR4, 256GB SSD, Backlit Keyboard, Windows 10, Titan Silver",Samsung,,,#368000
