rate,descript,titl,brand,imageurl,producturl,price,title_token,rating_token,brand_token,text_column
35 base on 2 rate,,hp 255 g6 e29000 amd 4gb500gb hdd 156inch free dos laptop black,hp,,,86990,"['hp', 255', g6', e29000e', amd', 4gb500gb', hdd', 156inch', free', dos', laptop', black']","['35', based', on', 2', ratings']",['hp'],35 base 2 rate
0 no rate yet,depend performancewith the latest intel processor and plenti of hard drive space or ssd on select model you can work play multitask and store more of what matter to you get reliabl power and storag you can trustvibr displayth crisp hd screen let you enjoy your photo video and web page in detail or on select model the full hd let you get even more out of your display,hp notebook 15 touchscreen core i3 8gb ram 1000gb hdd free ext dvd drive bag window 10 laptop,hp,,,145000,"['hp', notebook', 15', touchscreen', core', i3', 8gb', ram', 1000gb', hdd', free', ext', dvd', drive', bag', windows', 10', laptop']","['0', no', rating', yet']",['hp'],0 rate yet
0 no rate yet,,hp pavilion 15 touchscreen core i5 8 gb ram 1 tb hdd backlit keyboard window 10 with licens antivirus,hp,,,195000,"['hp', pavilion', 15', touchscreen', core', i5', 8', gb', ram', 1', tb', hdd', backlit', keyboard', windows', 10', with', licensed', antivirus']","['0', no', rating', yet']",['hp'],0 rate yet
0 no rate yet,lenovo 14inch thinkpad t440 ultrabook is the thinnest and lightest thinkpad t seri laptop we offer 4th generat intel core processor deliv the perform to increas product for your busi devic turn on in an instant and are alway uptod you can multitask quick and move effortless between applic collabor wireless in a high qualiti videoconfer all with the conveni of longer batteri life plus you can guard against ident theft and ensur safe access to your network with builtin secur featur in fact the onli thing more amaz than an intel core processorbas pc is what your user will do with it the standard configur of t440 includ 2 x 3cell batteri one intern and one swappabl power bridg allow you to swap the rear batteri without power down your system this is much need for long flight or travel who are away from power sourc for an extend period of time and can give you up to 17 hour of use without need to plug in a vga port for projector connect in confer room is still a busi musthav and a nativ vga mean no dongl to buylosereplac dolbi advanc audio is a suit of audio technolog that enabl your thinkpad to deliv a crisp clear surround sound experi over it builtin stereo speaker the technolog increas audio clariti for voip applic maxim volum output without distort and improv dialogu clariti when watch video crystal clear video face track and keystrok nois suppress technolog will help you web confer or chat like your realli there dual digit array microphon ensur a premium audio experi assur worryfre enjoy of your t440 with accident damag protect which keep you cover in the event of accident damag such as drop or spill that occur under normal work condit,lenovo lenovo t440 14inch thinkpad intel core i5 16 ghz processor 4 gb ram 500 gb hdd with bagwireless mous,lenovo,,,142200,"['lenovo', lenovo', t440', 14inch', thinkpad', intel', core', i5', 16', ghz', processor', 4', gb', ram', 500', gb', hdd', with', bagwireless', mouse']","['0', no', rating', yet']",['lenovo'],0 rate yet
0 no rate yet,,hp notebook 15bs013dx intel core i3 24ghz dvdwriter fullsiz island 8gb ram 1tb hdd window 10 32gb flash usb light,hp,,,155000,"['hp', notebook', 15bs013dx', intel', core', i3', 24ghz', dvdwriter', fullsize', island', 8gb', ram', 1tb', hdd', windows', 10', 32gb', flash', usb', light']","['0', no', rating', yet']",['hp'],0 rate yet
0 no rate yet,window 10 oper system,acer travelm 116 laptop intel celeron quad core 4gb memori 128gb solid state drive window 10 black,acer,,,78790,"['acer', travelmate', 116', laptop', intel', celeron', quad', core', 4gb', memory', 128gb', solid', state', drive', windows', 10', black']","['0', no', rating', yet']",['acer'],0 rate yet
0 no rate yet,lenovo thinkpad yoga 370 13inch core i58gb 256gb ssd convertibletouch screenwindow 10cpuintel core i57200uoper systemwindow 10 proram8gbram upgrad to16gbhard drive size256gb ssd133inch fhd 1920 x 1080 ip touch displayintel core i57200u 25ghzintel hd graphic 6208gb of ddr4256gb pcie ssd80211 abgnacbluetooth 41dimens 123 x 875 x 07inchesweight 31 pound,lenovo thinkpad yoga 370 13inch core i58gb 256gb ssd convertibletouch screen,lenovo,,,310000,"['lenovo', thinkpad', yoga', 370', 13inch', core', i58gb', 256gb', ssd', convertibletouch', screen']","['0', no', rating', yet']",['lenovo'],0 rate yet
0 no rate yet,dell precis m3520 core i7 500gb 8gb 280ghz 2gb nvidia touch keylight 156inchcor i77700hqintel core i77700hq 280ghz 512gb ssd 8gb ddr4156 lcd displaybluetooth 41 microsoft window 10keyboard lighttouchscreenintegr nvidia quadro m620 graphics20gb dedic video memori,dell precis m3520 core i7 500gb 8gb 280ghz 2gb nvidia touch keylight 156inch,dell,,,315000,"['dell', precision', m3520', core', i7', 500gb', 8gb', 280ghz', 2gb', nvidia', touch', keylight', 156inch']","['0', no', rating', yet']",['dell'],0 rate yet
47 base on 7 rate,,tbao tbook x7 141 notebook silver,tbao,,,60100,"['tbao', tbook', x7', 141', notebook', silver']","['47', based', on', 7', ratings']",['tbao'],47 base 7 rate
0 no rate yet,the,hp pavillion 15 intel core i5 touch screen 8gb1tb hdd 156inch win10 hp bag16gb flash drive,hp,,,192000,"['hp', pavillion', 15', intel', core', i5', touch', screen', 8gb1tb', hdd', 156inch', win10', hp', bag16gb', flash', drive']","['0', no', rating', yet']",['hp'],0 rate yet
0 no rate yet,the hp pavilion 15 156 laptop is part of our everyday rang of simpl and reliabl pcs it great for studi work on essay stream tv on demand and brows the web power by an intel core i5 processor it power through task with eas from word process to more powerintens applic to help you get your task done faster,hp pavilion 15 intel core i5 12gb ram1tb hdd 156 inch touch screen headfon window 10 laptop blue,hp,,,199000,"['hp', pavilion', 15', intel', core', i5', 12gb', ram1tb', hdd', 156', inch', touch', screen', headfone', windows', 10', laptop', blue']","['0', no', rating', yet']",['hp'],0 rate yet
0 no rate yet,,dell xps 13 9365 2in1 7thgen intel corei713ghz512gb ssd16gb ramwindow 10,dell,,,630000,"['dell', xps', 13', 9365', 2in1', 7thgen', intel', corei713ghz512gb', ssd16gb', ramwindows', 10']","['0', no', rating', yet']",['dell'],0 rate yet
0 no rate yet,oper system window 10 home 64processor intel core i3 with intel hd graphic 24 ghz 2 mb cach 2 coresprocessor famili intel core i3 processormemori 4gb ddr3l sdram 1 x 4 gbstorag 1tb 5400 rpm sata dropbox hp connect drive1 supermulti dvd burnerwebcam hp truevis hd webcam frontfac with integr digit microphonecommun integr 10100 baset ethernet lan 80211bgn 1x1 and bluetooth 40 comboeas of use 2gb radeon graphic,hp 15 intel core i324ghz touch screen freebag4gb1tb hdd window 10 laptop,hp,,,156000,"['hp', 15', intel', core', i324ghz', touch', screen', freebag4gb1tb', hdd', windows', 10', laptop']","['0', no', rating', yet']",['hp'],0 rate yet
0 no rate yet,hp envi core i5 8th gen12 gb1 tbwindow 10 laptop has a display for your daili need which is veri superfast and easi to use this laptop is power by processor coupl with 12gb of ram and has 1 tb hdd storag at this price point as far as the graphic card is concern this notebook has graphic card to manag the graphic function to keep it aliv it has a batteri that can serv you as long as anywher you go it has love featur make it veri versatil and function for busi operationspow processor,hp envi x360 15mbp111dx intel core i5 8250u 156 1tb hdd 12gb ram 1year mcafe internet secur 32gb flash,hp,,,250000,"['hp', envy', x360', 15mbp111dx', intel', core', i5', 8250u', 156', 1tb', hdd', 12gb', ram', 1year', mcafee', internet', security', 32gb', flash']","['0', no', rating', yet']",['hp'],0 rate yet
