rating,description,title,brand,imageurls,producturl,price,Title_tokens,Rating_tokens,Brand_tokens,text_column
35 based on 2 ratings,,hp 255 g6 e29000e amd 4gb500gb hdd 156inch free dos laptop  black,hp,,,86990,"['hp', '255', 'g6', 'e29000e', 'amd', '4gb500gb', 'hdd', '156inch', 'free', 'dos', 'laptop', 'black']","['35', 'based', 'on', '2', 'ratings']",['hp'],35 based 2 ratings
0 no rating yet,dependable performancewith the latest intel processors and plenty of hard drive space or ssd on selected models you can work play multitask and store more of what matters to you get reliable power and storage you can trustvibrant displaythe crisp hd screen lets you enjoy your photos videos and web pages in detail or on selected models the full hd lets you get even more out of your display,hp notebook 15 touchscreen core i3 8gb ram 1000gb hdd free ext dvd  drive bag windows 10 laptop,hp,,,145000,"['hp', 'notebook', '15', 'touchscreen', 'core', 'i3', '8gb', 'ram', '1000gb', 'hdd', 'free', 'ext', 'dvd', 'drive', 'bag', 'windows', '10', 'laptop']","['0', 'no', 'rating', 'yet']",['hp'],0 rating yet
0 no rating yet,,hp pavilion 15 touchscreen core i5 8 gb ram 1 tb hdd backlit keyboard windows 10 with licensed antivirus,hp,,,195000,"['hp', 'pavilion', '15', 'touchscreen', 'core', 'i5', '8', 'gb', 'ram', '1', 'tb', 'hdd', 'backlit', 'keyboard', 'windows', '10', 'with', 'licensed', 'antivirus']","['0', 'no', 'rating', 'yet']",['hp'],0 rating yet
0 no rating yet,lenovo 14inch thinkpad t440 ultrabook is the thinnest and lightest thinkpad t series laptop we offer 4th generation intel core processors deliver the performance to increase productivity for your business devices turn on in an instant and are always uptodate you can multitask quickly and move effortlessly between applications collaborate wirelessly in a high quality videoconference  all with the convenience of longer battery life plus you can guard against identity theft and ensure safe access to your network with builtin security features in fact the only thing more amazing than an intel core processorbased pc is what your users will do with it the standard configuration of t440 includes 2 x 3cell batteries one internal and one swappable power bridge allows you to swap the rear battery without powering down your system this is much needed for long flights or travellers who are away from power sources for an extended period of time and can give you up to 17 hours of use without needing to plug in a vga port for projector connections in conference rooms is still a business musthave and a native vga means no dongles to buylosereplace dolby advanced audio is a suite of audio technologies that enable your thinkpad to deliver a crisp clear surround sound experience over its builtin stereo speakers the technology increases audio clarity for voip applications maximizes volume output without distortion and improves dialogue clarity when watching videos crystal clear video face tracking and keystroke noise suppression technology will help you web conference or chat like youre really there dual digital array microphones ensure a premium audio experience assure worryfree enjoyment of your t440 with accidental damage protection which keeps you covered in the event of accidental damage  such as drops or spills  that occur under normal working conditions,lenovo lenovo t440 14inch thinkpad  intel core i5 16 ghz processor 4 gb ram 500 gb hdd with bagwireless mouse,lenovo,,,142200,"['lenovo', 'lenovo', 't440', '14inch', 'thinkpad', 'intel', 'core', 'i5', '16', 'ghz', 'processor', '4', 'gb', 'ram', '500', 'gb', 'hdd', 'with', 'bagwireless', 'mouse']","['0', 'no', 'rating', 'yet']",['lenovo'],0 rating yet
0 no rating yet,,hp notebook 15bs013dx intel core i3  24ghz  dvdwriter fullsize island 8gb ram 1tb hdd  windows 10 32gb flash usb light,hp,,,155000,"['hp', 'notebook', '15bs013dx', 'intel', 'core', 'i3', '24ghz', 'dvdwriter', 'fullsize', 'island', '8gb', 'ram', '1tb', 'hdd', 'windows', '10', '32gb', 'flash', 'usb', 'light']","['0', 'no', 'rating', 'yet']",['hp'],0 rating yet
0 no rating yet,windows 10 operating system,acer travelmate 116 laptop  intel celeron quad core  4gb memory  128gb solid state drive windows 10  black,acer,,,78790,"['acer', 'travelmate', '116', 'laptop', 'intel', 'celeron', 'quad', 'core', '4gb', 'memory', '128gb', 'solid', 'state', 'drive', 'windows', '10', 'black']","['0', 'no', 'rating', 'yet']",['acer'],0 rating yet
0 no rating yet,lenovo thinkpad yoga 370 13inch core i58gb 256gb ssd convertibletouch screenwindows 10cpuintel core i57200uoperating systemwindows 10 proram8gbram upgradable to16gbhard drive size256gb ssd133inch fhd 1920 x 1080 ips touch displayintel core i57200u 25ghzintel hd graphics 6208gb of ddr4256gb pcie ssd80211 abgnacbluetooth 41dimensions 123 x 875 x 07inchesweight 31 pounds,lenovo thinkpad yoga 370 13inch core i58gb 256gb ssd convertibletouch screen,lenovo,,,310000,"['lenovo', 'thinkpad', 'yoga', '370', '13inch', 'core', 'i58gb', '256gb', 'ssd', 'convertibletouch', 'screen']","['0', 'no', 'rating', 'yet']",['lenovo'],0 rating yet
0 no rating yet,dell precision m3520 core i7 500gb 8gb 280ghz 2gb nvidia touch keylight 156inchcore i77700hqintel core i77700hq 280ghz 512gb ssd 8gb ddr4156 lcd displaybluetooth 41 microsoft windows 10keyboard lighttouchscreenintegrated nvidia quadro m620 graphics20gb dedicated video memory,dell  precision m3520 core i7 500gb 8gb 280ghz  2gb nvidia touch keylight 156inch,dell,,,315000,"['dell', 'precision', 'm3520', 'core', 'i7', '500gb', '8gb', '280ghz', '2gb', 'nvidia', 'touch', 'keylight', '156inch']","['0', 'no', 'rating', 'yet']",['dell'],0 rating yet
47 based on 7 ratings,        ,tbao tbook x7 141 notebook  silver,tbao,,,60100,"['tbao', 'tbook', 'x7', '141', 'notebook', 'silver']","['47', 'based', 'on', '7', 'ratings']",['tbao'],47 based 7 ratings
0 no rating yet,the,hp pavillion 15 intel core i5 touch screen 8gb1tb hdd 156inch win10 hp bag16gb flash drive,hp,,,192000,"['hp', 'pavillion', '15', 'intel', 'core', 'i5', 'touch', 'screen', '8gb1tb', 'hdd', '156inch', 'win10', 'hp', 'bag16gb', 'flash', 'drive']","['0', 'no', 'rating', 'yet']",['hp'],0 rating yet
0 no rating yet,the hp pavilion 15 156 laptop is part of our everyday range of simple and reliable pcs its great for studying working on essays streaming tv on demand and browsing the web powered by an intel core i5 processor it powers through tasks with ease from word processing to more powerintensive applications to help you get your tasks done faster,hp pavilion 15 intel core i5 12gb ram1tb hdd 156 inch touch screen   headfone windows 10 laptop   blue,hp,,,199000,"['hp', 'pavilion', '15', 'intel', 'core', 'i5', '12gb', 'ram1tb', 'hdd', '156', 'inch', 'touch', 'screen', 'headfone', 'windows', '10', 'laptop', 'blue']","['0', 'no', 'rating', 'yet']",['hp'],0 rating yet
0 no rating yet,,dell xps 13 9365 2in1 7thgen intel corei713ghz512gb ssd16gb ramwindows 10,dell,,,630000,"['dell', 'xps', '13', '9365', '2in1', '7thgen', 'intel', 'corei713ghz512gb', 'ssd16gb', 'ramwindows', '10']","['0', 'no', 'rating', 'yet']",['dell'],0 rating yet
0 no rating yet,operating system  windows 10 home 64processor  intel core i3 with intel hd graphics 24 ghz 2 mb cache 2 coresprocessor family  intel core i3 processormemory  4gb ddr3l sdram 1 x 4 gbstorage 1tb 5400 rpm sata dropbox hp connected drive1 supermulti dvd burnerwebcam  hp truevision hd webcam frontfacing with integrated digital microphonecommunication  integrated 10100 baset ethernet lan 80211bgn 1x1 and bluetooth 40 comboease of use 2gb radeon graphics,hp 15 intel core i324ghz touch screen  freebag4gb1tb hdd windows 10 laptop,hp,,,156000,"['hp', '15', 'intel', 'core', 'i324ghz', 'touch', 'screen', 'freebag4gb1tb', 'hdd', 'windows', '10', 'laptop']","['0', 'no', 'rating', 'yet']",['hp'],0 rating yet
